song_name,genre,song_popularity,song_duration_ms,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,speechiness,tempo,audio_valence,Loud_Enrgy_Prod,Vale_Dance_Prod
New Age Girl,Alternative Rock,0,199087,0.105,0.632,0.6459999999999999,0.0,2,0.0454,-7.2,0.0519,137.933,0.777,-4.651199999999999,0.491064
Transformer (feat. Nicki Minaj),Hip Hop,0,196333,0.00151,0.753,0.616,7.1e-06,2,0.291,-7.34,0.165,156.83,0.287,-4.52144,0.216111
No Me Platiques Mas,Bolero,1,192967,0.695,0.245,0.355,0.0,8,0.125,-13.039,0.0427,85.56,0.3979999999999999,-4.628845,0.09750999999999997
Payaso,Latin Pop,2,196226,0.764,0.765,0.498,1.39e-05,9,0.139,-7.292999999999999,0.0279999999999999,92.024,0.51,-3.6319139999999996,0.39015
Insoportablemente Bella,Latin Pop,3,219293,0.309,0.315,0.37,4.98e-05,9,0.0642,-10.912,0.0307,66.547,0.256,-4.03744,0.08064
Hey Leonardo (She Likes Me For Me),Alternative Rock,4,208493,0.0437,0.637,0.846,0.0,1,0.105,-3.663,0.0346,103.119,0.634,-3.0988979999999997,0.403858
El Reloj,Bolero,4,157186,0.8540000000000001,0.821,0.348,0.0,3,0.0854,-8.897,0.0433,112.053,0.7140000000000001,-3.0961559999999997,0.586194
Bella Señora,Alternative Rock,5,281293,0.301,0.872,0.773,0.0,1,0.222,-10.666,0.036,120.966,0.96,-8.244818,0.83712
Cien años,Latin Pop,5,202640,0.802,0.612,0.183,3.38e-06,7,0.1119999999999999,-13.277,0.0329,106.412,0.524,-2.4296909999999996,0.32068800000000003
High,Bolero,5,273933,0.0328,0.471,0.7709999999999999,1.19e-06,2,0.0594,-6.172000000000001,0.0365,160.958,0.221,-4.758612,0.10409099999999999
Cuando Vuelva a Tu Lado,Alternative Rock,6,158533,0.721,0.711,0.3979999999999999,2.86e-06,2,0.336,-7.85,0.033,100.302,0.623,-3.124299999999999,0.442953
Nada Personal,Bolero,6,187653,0.843,0.487,0.408,0.0,8,0.105,-9.655,0.0436,78.82600000000001,0.351,-3.9392399999999994,0.17093699999999998
Noche de Ronda,Bolero,6,196560,0.906,0.42,0.19,5.02e-06,9,0.178,-15.056,0.045,131.547,0.293,-2.86064,0.12305999999999999
Into Your Arms,Rock,6,164466,0.0271,0.48,0.8909999999999999,3.24e-06,2,0.185,-5.001,0.0332,123.961,0.662,-4.455890999999999,0.31776
Little Black Backpack - Remastered,Alternative Rock,6,224939,0.000136,0.452,0.85,0.0,7,0.0988,-4.918,0.0503,118.1,0.324,-4.1803,0.14644800000000002
Losing My Religion,Alternative Rock,7,267760,0.122,0.667,0.877,0.0,9,0.124,-4.541,0.0291,125.416,0.8109999999999999,-3.982457,0.540937
Besame Mucho,Bolero,7,181960,0.701,0.7070000000000001,0.408,0.0,5,0.105,-12.776,0.0366,126.399,0.843,-5.2126079999999995,0.596001
Mujeres Divinas,Norteño,7,189720,0.584,0.513,0.297,0.000107,5,0.327,-9.57,0.0605,141.553,0.62,-2.8422899999999998,0.31806
Cannonball,Alternative Rock,8,215573,0.00971,0.498,0.685,0.775,3,0.365,-11.795,0.0394,112.49,0.765,-8.079575,0.38097000000000003
Come Out and Play,Rock,11,197800,0.0943,0.514,0.884,1.52e-06,7,0.0654,-3.765,0.151,158.262,0.898,-3.32826,0.46157200000000004
Unbelievable,Alternative Rock,11,209813,0.000341,0.637,0.8490000000000001,0.0386,1,0.141,-6.855,0.0362,104.074,0.936,-5.819895000000001,0.5962320000000001
Me Dediqué a Perderte,Latin Pop,13,232893,0.487,0.647,0.451,2.45e-06,8,0.105,-9.075,0.0748,147.847,0.48,-4.0928249999999995,0.31056
Who's Gonna Ride Your Wild Horses,Rock,15,316426,0.0409999999999999,0.436,0.682,0.000155,7,0.0712,-10.598,0.0384,132.66299999999998,0.416,-7.227836000000001,0.18137599999999998
Glycerine,Alternative Rock,15,266493,0.0365,0.447,0.337,0.00124,5,0.0945,-11.402,0.0325,114.422,0.0827,-3.842474,0.0369669
Moving Mountains,Pop,16,253400,0.904,0.5920000000000001,0.206,6.09e-05,0,0.121,-12.026,0.0274,93.934,0.198,-2.477356,0.11721600000000003
Jungle,Electronic,16,315598,0.2689999999999999,0.59,0.6970000000000001,9.86e-05,1,0.0881,-5.877000000000001,0.0291,146.059,0.497,-4.096269000000001,0.29323
The Code,Hip Hop,17,227000,0.0593,0.53,0.613,0.0,1,0.0924,-6.29,0.294,157.817,0.542,-3.85577,0.28726
No Sé Tú,Latin Pop,17,229666,0.7809999999999999,0.617,0.502,1e-05,7,0.193,-8.271,0.0388,80.959,0.107,-4.152042000000001,0.066019
Bachata Rosa,Bachata,18,242200,0.79,0.6579999999999999,0.414,2.64e-06,9,0.1989999999999999,-8.522,0.0311,111.904,0.51,-3.528108,0.33558
Bullet With Butterfly Wings,Alternative Rock,18,257706,5.01e-05,0.389,0.705,0.86,10,0.09,-10.331,0.0553,122.154,0.555,-7.283354999999999,0.21589500000000003
L.I.F.E.G.O.E.S.O.N.,Pop,19,226946,0.205,0.608,0.745,0.0,4,0.342,-5.82,0.0354,82.00299999999999,0.595,-4.3359000000000005,0.36175999999999997
Strangers,Pop,19,194755,0.609,0.618,0.474,1.28e-05,2,0.126,-5.178999999999999,0.0321,121.762,0.321,-2.4548459999999994,0.198378
El Noa Noa,Norteño,19,342080,0.055,0.708,0.917,0.0,7,0.0305,-3.913,0.0951,94.92,0.794,-3.588221,0.562152
